Normal Distribution w/ Mean of 6000, Standard Deviation of 1000
FIFO (1 PROCESSOR)
Process	Cycles	Wait Time
p30:	6118	33302
p31:	3259	33703
p32:	115	33689
p33:	1452	33754
p34:	649	35156
p35:	3666	35753
p36:	135	35705
p37:	6858	35790
p38:	4556	36612
p39:	2104	38970
p40:	6948	39169
p41:	1067	40974
p42:	716	40968
p43:	6561	41634
p44:	9347	41891
p45:	2395	42248
p46:	5812	44593
p47:	7914	45767
p48:	1872	47945
p49:	2861	49767
Total Elapsed Time:	56531
Average Wait Time:	23858

RR (1 PROCESSOR)
Process	Cycles	Wait Time
p0:	555	14372
p1:	5398	165302
p2:	3313	118081
p3:	3454	122956
p4:	3583	125862
p5:	1627	63865
p6:	9989	205213
p7:	6509	186271
p8:	6208	182314
p9:	7475	194784
p10:	154	5942
p11:	2769	104457
p12:	4169	142123
p13:	89	1951
p14:	778	32930
p15:	8293	199339
p16:	6424	185345
p17:	4505	150349
p18:	1871	75397
p19:	10935	205285
p20:	10514	205263
p21:	9250	203001
p22:	6222	182822
p23:	7168	192610
p24:	6247	182844
p25:	5125	163372
p26:	268	12898
p27:	5267	166248
p28:	1355	58003
p29:	3033	113342
p30:	6118	181194
p31:	3259	120543
p32:	115	6345
p33:	1452	61860
p34:	649	28178
p35:	3666	130697
p36:	135	6510
p37:	6858	189598
p38:	4556	151655
p39:	2104	84895
p40:	6948	190007
p41:	1067	46680
p42:	716	32657
p43:	6561	186581
p44:	9347	202403
p45:	2395	93204
p46:	5812	175926
p47:	7914	196518
p48:	1872	76618
p49:	2861	109128
Total Elapsed Time:	260622
Average Wait Time:	124674

RR (4 PROCESSORS)
Process	Cycles	Wait Time
p0:	555	511
p1:	5398	35582
p2:	3313	24757
p3:	3454	26229
p4:	3583	27246
p5:	1627	12805
p6:	9989	43791
p7:	6509	41008
p8:	6208	40197
p9:	7475	42716
p10:	154	553
p11:	2769	23127
p12:	4169	31592
p13:	89	301
p14:	778	6620
p15:	8293	43224
p16:	6424	40947
p17:	4505	33560
p18:	1871	16772
p19:	10935	43380
p20:	10514	43362
p21:	9250	43286
p22:	6222	40369
p23:	7168	42134
p24:	6247	40355
p25:	5125	36310
p26:	268	2544
p27:	5267	36889
p28:	1355	13047
p29:	3033	25614
p30:	6118	39973
p31:	3259	27165
p32:	115	1256
p33:	1452	14062
p34:	649	6319
p35:	3666	29310
p36:	135	1371
p37:	6858	41290
p38:	4556	33819
p39:	2104	19348
p40:	6948	41281
p41:	1067	10677
p42:	716	7418
p43:	6561	40568
p44:	9347	42297
p45:	2395	21172
p46:	5812	38649
p47:	7914	41856
p48:	1872	17387
p49:	2861	24621
Total Elapsed Time:	98717
Average Wait Time:	27173

